Package Name	Version	Top-level Module	Apt_version
backcall	0.1.0	backcall	0.1.0-2
backports.tempfile	1.0	backports	1.0-4
backports.weakref	1.0	backports	1.0-3
backup2swift	0.8	backup2swift	0.8-1.1
bandit	1.6.2	bandit	1.6.2-1
barbican	10.1.0	barbican	1:10.1.0-0ubuntu2.2
barbicanclient	4.10.0	barbicanclient	4.10.0-0ubuntu1
barectf	2.3.1	barectf	2.3.1-1
barman	2.10	barman	2.10-2
base58	1.0.3	base58	1.0.3-1
bashate	0.6.0	bashate	0.6.0-4
bayespy	0.5.18	bayespy	0.5.18-2
bcdoc	0.16.0	bcdoc	0.16.0-2
bcolz	1.2.1	bcolz	1.2.1+ds2-5build1
bcrypt	3.1.7	bcrypt	3.1.7-2ubuntu1
bdist-nsi	0.1.5	bdist_nsi	0.1.5-2
beaker	1.10.0	beaker	1.10.0-2
beanbag	1.9.2	beanbag	1.9.2-1.2
beancount	2.2.3+hg20200223.0.3af921a	beancount	2.2.3+hg20200223.0.3af921a-1
behave	1.2.6	behave	1.2.6-1
bernhard	0.2.6	bernhard	0.2.6-2
berrynet	3.7.0	berrynet	3.9.0-1
betamax	0.8.1	betamax	0.8.1-2
bibtexparser	1.1.0	bibtexparser	1.1.0+ds-3
bidict	0.18.2	bidict	0.18.2-1
bids-validator	1.2.4	bids_validator	1.2.4-1
billiard	3.6.1.0	billiard	3.6.1.0-1
binaryornot	0.4.3	binaryornot	0.4.4+dfsg-4
binoculars	0.0.1	binoculars	0.0.4-1
binwalk	2.2.0	binwalk	2.2.0+dfsg1-1
bioblend	0.7.0	bioblend	0.7.0-3
biom-format	2.1.8	#	2.1.8+dfsg-1ubuntu2
biomaj3-cli	#	#	3.1.11-1
biomaj3-core	#	#	3.0.19-1
biomaj3-daemon	#	#	3.0.20-1
biomaj3-download	#	#	3.1.0-1
biomaj3-process	#	#	3.0.15-1
biomaj3-user	#	#	3.0.10-1
biomaj3-zipkin	#	#	0.2.2-1
biomaj3	#	#	3.1.14-3
biopython-sql	#	#	1.76+dfsg-1
biopython	1.76	#	1.76+dfsg-1
biotools	1.2.12	biotools	1.2.12-5
bip32utils	0.3.post3	bip32utils	0.0~git20170118.dd9c541-2
biplist	1.0.3	biplist	1.0.3-2
bitarray	0.8.1	bitarray	0.8.1-2build1
bitbucket-api	0.5.0	#	0.5.0-3
bitcoinlib	#	#	0.10.2-1
bitstring	3.1.5	bitstring	3.1.5-2
bitstruct	3.7.0	bitstruct	3.7.0-2
bladerf	1.2.0	bladerf	0.2019.07-4build1
blazarclient	$	blazarclient	3.0.0-0ubuntu1
bleach	3.1.1	bleach	3.1.1-1
blends	$	blends	0.7.2ubuntu3
blessed	1.15.0	blessed	1.16.1-1
blessings	1.6	blessings	1.6-3
